nom_cat,nom_GeoJSON,cod_GeoJSON
Girona,Girona,17
Barcelona,Barcelona,08
Almeria,Almería,04
Múrcia,Murcia,30
Castelló,Castelló/Castellón,12
Tarragona,Tarragona,43
Lleida,Lleida,25
Astúries,Asturias,33
Terol,Teruel,44
Albacete,Albacete,02
Burgos,Burgos,09
Jaén,Jaén,23
Zaragoza,Zaragoza,50
Navarra,Navarra,31
Osca,Huesca,22
Guadalajara,Guadalajara,19
València,València/Valencia,46
Cantàbria,Cantabria,39
Illes Balears,Illes Balears,07
Cadis,Cádiz,11
Conca,Cuenca,16
Madrid,Madrid,28
Lleó,León,24
Huelva,Huelva,21
Còrdova,Córdoba,14
Granada,Granada,18
Ciutat Reial,Ciudad Real,13
Màlaga,Málaga,29
Alacant,Alacant/Alicante,03
Segòvia,Segovia,40
Sevilla,Sevilla,41
Badajoz,Badajoz,06
Palència,Palencia,34
Àvila,Ávila,05
Càceres,Cáceres,10
Valladolid,Valladolid,47
Biscaia,Bizkaia/Vizcaya,48
Salamanca,Salamanca,37
Pontevedra,Pontevedra,36
Las Palmas,Las Palmas,35
Toledo,Toledo,45
Àlava,Araba/Álava,01
La Rioja,La Rioja,26
Guipúscoa,Gipuzkoa/Guipúzcoa,20
La Corunya,A Coruña,15
Tenerife,Santa Cruz De Tenerife,38
Orense,Ourense,32
Lugo,Lugo,27
Zamora,Zamora,49
Sòria,Soria,42
Melilla,Melilla,52
Ceuta,Ceuta,51
